Hotel_Name,Rating,Price,kind_rat,Reviews,Rooms
Al Bateel Furnished Apartments,8.4,295,Very Good,44,One-Bedroom Apartment
شقة في الماجدية وقريبه من البوليفارد دخول ذاتي,9.6,1000,Exceptional,5,Two-Bedroom Apartment
Mnazel Jawraq,8.7,2250,Excellent,58,Villa with Private Pool
Four Points By Sheraton Riyadh Khaldia,7.7,300,Good,1745,Traditional Guest room with King Bed and City view               
Bzul Furnished Units,8.1,299,Very Good,60,One-Bedroom Apartment
Khayal Hotel Apartments,8.0,230,Very Good,53,Deluxe One-Bedroom Apartment
فيلا الفيروز Turquoise villa,9.1,2300,Wonderful,12,Three-Bedroom Villa
Gloria Inn Riyadh,7.9,273,Good,4054,Standard Room
Ibis Riyadh Olaya Street,6.7,325,Review score,4295,Standard room with 2 Single size beds
Hilton Garden Inn Riyadh Olaya,7.1,325,Good,614,King Room
Aloft Riyadh Hotel,8.2,525,Very Good,2929,"Aloft Room, Guest room, 1 King"
Rest Night Hotel Suites- - AL Nafal,7.4,250,Good,2151,Superior King Room
Hayat Al Riyadh Hotel,8.2,400,Very Good,2291,Deluxe Double or Twin Room
Meral Crown Hotel,7.8,315,Good,1114,Junior Suite
Hayat Rose Hotel Apartments,7.7,462,Good,562,Two-Bedroom Apartment
Sanam Hotel Suites - Riyadh,7.3,285,Good,2344,Junior Suite
Dara Hotel Qurtubah,8.5,483,Very Good,297,King Studio
Rafa,7.3,414,Good,893,Deluxe Junior Suite
Al Mutlaq Hotel Riyadh,7.8,360,Good,575,Standard Double Room
Rafa Homes - Al Falah,7.6,308,Good,995,Superior One-Bedroom Apartment
Quetzal Aparthotel,7.9,383,Good,1833,Standard Double Room
Clemence Suites,8.6,395,Excellent,527,Deluxe Suite
Rafa Homes,7.5,318,Good,947,One-Bedroom Apartment
Aber Al Takhassusi,8.5,350,Very Good,671,Standard Twin Room
Ewaa Express Hotel - Khurais,8.4,299,Very Good,1831,Standard Double Room
Reef Al Malaz Hotel International,5.7,137,Review score,4867,Double or Twin Room
Al Muhaidb Sulaimanya Askary Hospital,7.7,250,Good,1950,Studio
Hyatt Buyutat,6.8,410,Review score,1357,Standard Double Room
Auris Al Fanar ApartHotel,7.6,345,Good,559,One-Bedroom Apartment
Almakan Hotel 113,6.8,280,Review score,294,Studio
Tulip Inn Riyadh,6.2,225,Review score,442,Deluxe King Room
Boudl Al Munsiyah,7.7,485,Good,2737,Suite
Al Muhaidb Residence Al Takhassusi,6.8,270,Review score,1134,Club Double Room
Nadreen Furnished Units,7.0,180,Good,149,One-Bedroom Apartment
صبا للشقق الفندقيه,7.2,230,Good,528,Superior King Room
Capital O 162 Brzeen Hotel,6.3,142,Review score,6031,Standard Room Twin
Al Muhaidb Al Takhassosi Abaqrino,7.6,285,Good,1188,Double Room
قصر الحمراء فرع الاسواق,6.7,98,Review score,2436,Standard Studio Double
Aber Al Yasmin,8.3,340,Very Good,1343,Standard Double Room
reef101,6.2,180,Review score,499,Studio
Ewaa Express Hotel - Gaber,8.8,375,Excellent,629,Suite
الفرحان قرطبه,7.4,198,Good,43,Budget Double Room
فندق الرياض ان - riyadh inn hotel,7.8,270,Good,383,Economy Double Room
دانة الخليج Danat Al Khaleej Hotel,8.4,350,Very Good,456,One-Bedroom Suite
Executives Hotel - Azizia,8.1,400,Very Good,2796,Standard Double Room
Al Muhaidb Residence - Al Malaz,7.7,285,Good,1339,Standard  Room
Obaer Hotel,7.2,370,Good,2816,Deluxe King Room
Quiet Rooms Suites By Quiet Rooms,7.3,300,Good,721,One-Bedroom Apartment
Al Muhaidb Down Town - King Fahd Road,7.9,250,Good,1021,Studio
Almakan Hotel 107,6.1,540,Review score,734,Studio Apartment
Alfarhan Panda Alfayha,8.0,202,Very Good,1019,Budget Double Room
Boudl Al Fayhaa,6.6,285,Review score,1671,Double Room
Al Muhaidb Al Malaz - Al Farazdaq Road,7.0,210,Good,755,Standard Double Room
Rafa Homes Al Izdihar 2,7.9,310,Good,228,One-Bedroom Apartment
Royal Suites,7.6,437,Good,139,Standard Double Room
Sama Al Qasr - Khurais,7.5,400,Good,888,One-Bedroom Apartment
Makarem Hotel Apartments,9.3,400,Wonderful,212,One-Bedroom Apartment
Ewaa Express Hotel-Al Olaya,6.8,400,Review score,1169,Standard King Room
Super 8 Al Riyadh,6.9,264,Review score,737,King Room - Non-Smoking
H (Hills) ApartHotel,7.3,290,Good,312,Studio with Spa Bath
Ashbonh Hotel Suites,7.7,324,Good,390,Large Studio
Merfal Royal new,7.2,190,Good,610,Studio
Silent Room 1 By Quiet Rooms,6.7,196,Review score,478,One-Bedroom Apartment
Al Muhaidb King Abdul Aziz - Al Malaz,7.7,275,Good,796,Double or Twin Room
Neyaara Hotel - Al Takhassusi,7.2,250,Good,396,Studio
Merfal Hotel Apartments Al Taawan,6.7,170,Review score,766,Studio
القبة الذهبية1,6.7,160,Review score,249,Twin Room with Private Bathroom
Intour Qurtoba,7.2,290,Good,992,Studio
Nawara Dala,7.0,270,Good,491,Studio
Pearls Venice Hotel Apartments,6.8,191,Review score,325,Premier One-Bedroom Apartment
Tooq Suites,7.5,210,Good,39,Double or Twin Studio
امجاد الرياض,6.2,129,Review score,164,Deluxe King Room
Al Muhaidb Al Nadwa,7.8,300,Good,580,One-Bedroom Apartment
Silent Room 3 By Quiet Rooms,7.0,230,Good,354,Deluxe Suite
Bzul For Furnished Apartments,7.8,240,Good,43,One-Bedroom Apartment
Sixty Three Hotel Suites,7.2,270,Good,64,One-Bedroom Apartment
Malfakum Apartment Hotel,7.9,350,Good,469,One-Bedroom Apartment
Al Muhaidb Al Diwan - Al Olaya,6.4,250,Review score,449,Studio
Dorar Darea Hotel Apartments - Al Nafl,7.5,315,Good,1025,One-Bedroom Apartment
Al Diafah Hotel Suites,7.0,310,Good,700,One-Bedroom Suite
Al Muhaidb Al Takhasosi Suites,7.4,292,Good,618,Studio
Rukon Buotat 15,7.0,276,Good,343,Basic Double Room
Al Quba Al Thahbia Hotel Suites 2,6.5,169,Review score,1007,Standard Studio
غرناطة بالاس للشقق المفروشه - Granada Palace furnished apartments,7.5,333,Good,398,One-Bedroom Apartment
Aber Al Munsiyah,7.8,350,Good,1217,Deluxe Twin Room
Al Muhaidb Al Malaz - Al Jamiah,7.5,245,Good,753,Studio
Boudl Al Wadi,7.9,490,Good,443,Double or Twin Room
Al Muhaidb Jarir - Al Malaz,7.5,340,Good,470,One-Bedroom Apartment
Noor Amal Hotel Apartments As Sulay,7.7,390,Good,44,Two-Bedroom Apartment
Al Farhan Suites Ishbillia,7.0,366,Good,2334,Two-Bedroom Apartment
Capital O 419 Al Safeer Hotel,6.0,124,Review score,1246,Standard Studio
ال متعب سويتس التعاون,7.9,300,Good,119,Studio
ال متعب سويتس الفلاح,7.7,196,Good,79,Studio
Al Muhaidb Residence Salahuddin,7.6,278,Good,659,Studio
Rayatna for Furnished Apartments 2,7.1,220,Good,275,Large Double Room
Boudl Gaber,7.9,425,Good,780,Economy Double Room
Aseel Alsharq Hotel أصيل الشرق للوحدات السكنية,8.9,278,Excellent,68,King Studio
درر رامه للأجنحة الفندقية 8,6.9,270,Review score,107,One-Bedroom Apartment
Qasr Al Al Aqiq Furnished Units,6.0,220,Review score,134,Standard Apartment
Qasr Alhanen Furnished Apartments,7.0,280,Good,34,One-Bedroom Apartment
Golden Tulip Al Nasiriah Hotel,6.6,255,Review score,3569,Standard King Room
Al Muhaidb Al Narges,7.2,300,Good,949,Studio
Garden City 2,7.0,450,Good,82,One-Bedroom Apartment
Sama Al Qasr Al Muhammadiah,7.3,220,Good,368,Studio
El Tawfiq Furnished Suites Malaz,6.9,252,Review score,165,Family Room with Bath
Aram Hotel - AlMeshael Exit 18,7.7,500,Good,23,One-Bedroom Suite
Hotelier Al Sulaymaniyh,6.8,210,Review score,249,Double Room
ال متعب سويتس الإزدهار,7.6,339,Good,338,Studio
Rafa Homes Al Izdihar 1,7.9,275,Good,261,One-Bedroom Apartment
دار الشرق للوحدات السكنية المفروشة,7.5,250,Good,198,Standard Apartment
Mena Andalusia Riyadh,7.1,248,Good,3347, Standard Room Twin
Elite of Elite Hotel Apartments,7.7,365,Good,230,Small One-Bedroom Apartment
Viola Gardens,7.1,236,Good,456,One-Bedroom Apartment
Hodooa Al Masaken 4,6.5,150,Review score,245,Superior Apartment
JUINA CASTIE alriyad,7.3,165,Good,158,Small Double Room
Flora Hotel Suites,6.9,280,Review score,133,Studio
Ruoof Furnished Units Apartment,7.3,250,Good,193,One-Bedroom Apartment
درر رامه للأجنحة الفندقية 2,6.5,215,Review score,298,King Studio
Al Sultan Royal,7.3,170,Good,67,Budget Double Room
الوهد للوحدات السكنية المفروشة,7.5,317,Good,150,Studio
All Days ِApartHotel,7.7,230,Good,155,Standard Apartment
درر رامه للأجنحة الفندقية 4,6.6,205,Review score,214,Studio
Nawara Sulimania Askary,6.9,210,Review score,69,Studio Apartment
Aseel Furnished Apartments,6.7,314,Review score,31,Studio
Janat Al Areef ApartHotel,7.9,432,Good,157,Deluxe Double or Twin Room
APOLLO DIMORA THE BUSINESS HOTEL,6.8,285,Review score,353,Standard Double or Twin Room
Golden Dune Hotel & Suite,8.1,269,Very Good,3248,Deluxe Queen Room
Al Muhaidb Al Olaya - Khurais,6.4,260,Review score,485,Studio
Darina Furnished Apartments,7.2,360,Good,69,Suite
ال متعب سويتس المؤنسية,7.3,200,Good,59,Deluxe King Room
Hodooa Al Masaken,6.5,150,Review score,335,Studio
Dar Al Riyadh Apartments,6.2,400,Review score,329,One-Bedroom Apartment
Burj Al Hayat Furnished suites-Al Mallaz,6.7,350,Review score,78,One-Bedroom Apartment
اجنحة درر رامه المروج 7,6.3,200,Review score,65,Studio Apartment
Al Rafahya Crown,6.7,400,Review score,41,Superior Apartment
Masarat Al Wurud Furnished Apartments,7.2,340,Good,46,One-Bedroom Apartment
Dorar Darea Hotel Apartments - Al Malqa,6.8,189,Review score,359,Double Room
ال متعب سويتس اليرموك,7.9,341,Good,214,One-Bedroom Apartment
Grand Plaza - Qurtubah,7.8,344,Good,300,One-Bedroom Apartment
Meda Furnished Apartments,8.3,350,Very Good,256,One-Bedroom Apartment
Shahad Hotel,7.1,162,Good,16,One-Bedroom Apartment
اجنحة بياسة Baeza Suites,7.0,350,Good,25,One-Bedroom Suite
Nawarah Al Takhassusi,6.8,250,Review score,581,Standard Double Room
Deyala Hotel Apartments 1,7.8,300,Good,36,King Studio
Twlan,7.4,399,Good,109,One-Bedroom Chalet
Dalal Chalets,7.8,2000,Good,11,Two-Bedroom Chalet
Al Muhaidb Tahliya (Olaya),6.3,245,Review score,607,Studio
اجنحه وارف,6.3,249,Review score,47,Studio
